‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
🐞   1f41e  lady_beetle            🐟   1f41f  fish                   🐠    1f420  tropical_fish          🐡    1f421  blowfish             
🐢   1f422  turtle                 🐣   1f423  hatching_chick         🐤    1f424  baby_chick             🐥    1f425  front-facing_baby_ch…
🐦   1f426  bird                   🐧   1f427  penguin                🐨    1f428  koala                  🐩    1f429  poodle               
🐪   1f42a  dromedary_camel        🐫   1f42b  bactrian_camel         🐬    1f42c  dolphin                🐭    1f42d  mouse_face           
🐮   1f42e  cow_face               🐯   1f42f  tiger_face             🐰    1f430  rabbit_face            🐱    1f431  cat_face             
🐲   1f432  dragon_face            🐳   1f433  spouting_whale         🐴    1f434  horse_face             🐵    1f435  monkey_face          
🐶   1f436  dog_face               🐷   1f437  pig_face               🐸    1f438  frog_face              🐹    1f439  hamster_face         
🐺   1f43a  wolf_face              🐻   1f43b  bear_face              🐼    1f43c  panda_face             🐽    1f43d  pig_nose             
🐾   1f43e  paw_prints             🐿   1f43f  chipmunk               👀    1f440  eyes                   👁    1f441  eye                  
👂   1f442  ear                    👃   1f443  nose                   👄    1f444  mouth                  👅    1f445  tongue               
👆   1f446  white_up_pointing_ba…  👇   1f447  white_down_pointing_…  👈    1f448  white_left_pointing_…  👉    1f449  white_right_pointing…
👊   1f44a  fisted_hand_sign       👋   1f44b  waving_hand_sign       👌    1f44c  ok_hand_sign           👍    1f44d  thumbs_up_sign       
👎   1f44e  thumbs_down_sign       👏   1f44f  clapping_hands_sign    👐    1f450  open_hands_sign        👑    1f451  crown                
👒   1f452  womans_hat             👓   1f453  eyeglasses             👔    1f454  necktie                👕    1f455  t-shirt              
👖   1f456  jeans                  👗   1f457  dress                  👘    1f458  kimono                 👙    1f459  bikini               
👚   1f45a  womans_clothes         👛   1f45b  purse                  👜    1f45c  handbag                👝    1f45d  pouch                
👞   1f45e  mans_shoe              👟   1f45f  athletic_shoe          👠    1f460  high-heeled_shoe       👡    1f461  womans_sandal        
👢   1f462  womans_boots           👣   1f463  footprints             👤    1f464  bust_in_silhouette     👥    1f465  busts_in_silhouette  
👦   1f466  boy                    👧   1f467  girl                   👨    1f468  man                    👩    1f469  woman                
👪   1f46a  family                 👫   1f46b  man_and_woman_holdin…  👬    1f46c  two_men_holding_hand…  👭    1f46d  two_women_holding_ha…
👮   1f46e  police_officer         👯   1f46f  woman_with_bunny_ear…  👰    1f470  bride_with_veil        👱    1f471  person_with_blond_ha…
👲   1f472  man_with_gua_pi_mao    👳   1f473  man_with_turban        👴    1f474  older_man              👵    1f475  older_woman          
👶   1f476  baby                   👷   1f477  construction_worker    👸    1f478  princess               👹    1f479  japanese_ogre        
👺   1f47a  japanese_goblin        👻   1f47b  ghost                  👼    1f47c  baby_angel             👽    1f47d  extraterrestrial_ali…
👾   1f47e  alien_monster          👿   1f47f  imp                    💀    1f480  skull                  💁    1f481  information_desk_per…
💂   1f482  guardsman              💃   1f483  dancer                 💄    1f484  lipstick               💅    1f485  nail_polish          
💆   1f486  face_massage           💇   1f487  haircut                💈    1f488  barber_pole            💉    1f489  syringe              
💊   1f48a  pill                   💋   1f48b  kiss_mark              💌    1f48c  love_letter            💍    1f48d  ring                 
💎   1f48e  gem_stone              💏   1f48f  kiss                   💐    1f490  bouquet                💑    1f491  couple_with_heart    
💒   1f492  wedding                💓   1f493  beating_heart          💔    1f494  broken_heart           💕    1f495  two_hearts           
💖   1f496  sparkling_heart        💗   1f497  growing_heart          💘    1f498  heart_with_arrow       💙    1f499  blue_heart           
💚   1f49a  green_heart            💛   1f49b  yellow_heart           💜    1f49c  purple_heart           💝    1f49d  heart_with_ribbon    
💞   1f49e  revolving_hearts       💟   1f49f  heart_decoration       💠    1f4a0  diamond_shape_with_a…  💡    1f4a1  electric_light_bulb  
💢   1f4a2  anger_symbol           💣   1f4a3  bomb                   💤    1f4a4  sleeping_symbol        💥    1f4a5  collision_symbol     
💦   1f4a6  splashing_sweat_symb…  💧   1f4a7  droplet                💨    1f4a8  dash_symbol            💩    1f4a9  pile_of_poo          
💪   1f4aa  flexed_biceps          💫   1f4ab  dizzy_symbol           💬    1f4ac  speech_balloon         💭    1f4ad  thought_balloon      
💮   1f4ae  white_flower           💯   1f4af  hundred_points_symbo…  💰    1f4b0  money_bag              💱    1f4b1  currency_exchange    
💲   1f4b2  heavy_dollar_sign      💳   1f4b3  credit_card            💴    1f4b4  banknote_with_yen_si…  💵    1f4b5  banknote_with_dollar…
💶   1f4b6  banknote_with_euro_s…  💷   1f4b7  banknote_with_pound_…  💸    1f4b8  money_with_wings       💹    1f4b9  chart_with_upwards_t…
💺   1f4ba  seat                   💻   1f4bb  personal_computer      💼    1f4bc  briefcase              💽    1f4bd  minidisc             
💾   1f4be  floppy_disk            💿   1f4bf  optical_disc           📀    1f4c0  dvd                    📁    1f4c1  file_folder          
📂   1f4c2  open_file_folder       📃   1f4c3  page_with_curl         📄    1f4c4  page_facing_up         📅    1f4c5  calendar             
📆   1f4c6  tear-off_calendar      📇   1f4c7  card_index             📈    1f4c8  chart_with_upwards_t…  📉    1f4c9  chart_with_downwards…
📊   1f4ca  bar_chart              📋   1f4cb  clipboard              📌    1f4cc  pushpin                📍    1f4cd  round_pushpin        
📎   1f4ce  paperclip              📏   1f4cf  straight_ruler         📐    1f4d0  triangular_ruler       📑    1f4d1  bookmark_tabs        
📒   1f4d2  ledger                 📓   1f4d3  notebook               📔    1f4d4  notebook_with_decora…  📕    1f4d5  closed_book          
📖   1f4d6  open_book              📗   1f4d7  green_book             📘    1f4d8  blue_book              📙    1f4d9  orange_book          
📚   1f4da  books                  📛   1f4db  name_badge             📜    1f4dc  scroll                 📝    1f4dd  memo                 
📞   1f4de  telephone_receiver     📟   1f4df  pager                  📠    1f4e0  fax_machine            📡    1f4e1  satellite_antenna    
📢   1f4e2  public_address_louds…  📣   1f4e3  cheering_megaphone     📤    1f4e4  outbox_tray            📥    1f4e5  inbox_tray           
📦   1f4e6  package                📧   1f4e7  e-mail_symbol          📨    1f4e8  incoming_envelope      📩    1f4e9  envelope_with_downwa…
📪   1f4ea  closed_mailbox_with_…  📫   1f4eb  closed_mailbox_with_…  📬    1f4ec  open_mailbox_with_ra…  📭    1f4ed  open_mailbox_with_lo…
📮   1f4ee  postbox                📯   1f4ef  postal_horn            📰    1f4f0  newspaper              📱    1f4f1  mobile_phone         
📲   1f4f2  mobile_phone_with_ri…  📳   1f4f3  vibration_mode         📴    1f4f4  mobile_phone_off       📵    1f4f5  no_mobile_phones     
📶   1f4f6  antenna_with_bars      📷   1f4f7  camera                 📸    1f4f8  camera_with_flash      📹    1f4f9  video_camera         
📺   1f4fa  television             📻   1f4fb  radio                  📼    1f4fc  videocassette          📽    1f4fd  film_projector       
📿   1f4ff  u1f4ff                 🔀   1f500  twisted_rightwards_a…  🔁    1f501  clockwise_rightwards…  🔂    1f502  clockwise_rightwards…
🔃   1f503  clockwise_downwards_…  🔄   1f504  anticlockwise_downwa…  🔅    1f505  low_brightness_symbo…  🔆    1f506  high_brightness_symb…
🔇   1f507  speaker_with_cancell…  🔈   1f508  speaker                🔉    1f509  speaker_with_one_sou…  🔊    1f50a  speaker_with_three_s…
🔋   1f50b  battery                🔌   1f50c  electric_plug          🔍    1f50d  left-pointing_magnif…  🔎    1f50e  right-pointing_magni…
🔏   1f50f  lock_with_ink_pen      🔐   1f510  closed_lock_with_key   🔑    1f511  key                    🔒    1f512  lock                 
